2026-07-26 21:35:05 | stm32u3c5ci | table_132 | page=218 | Y=6.1 Device marking | outline/toc=6.8.1 Device marking for WLCSP126
2026-07-26 21:35:05 | stm32u3c5ci | table_133 | page=221 | Y=6.1 Device marking | outline/toc=6.9 UFBGA132 package information (A0G8)
2026-07-26 21:35:05 | stm32u3c5ci | table_134 | page=222 | Y=6.1 Device marking | outline/toc=6.10 LQFP144 package information (1A)
2026-07-26 21:35:05 | stm32u3c5ci | table_135 | page=224 | Y=6.1 Device marking | outline/toc=6.10 LQFP144 package information (1A)
2026-07-26 21:35:06 | stm32u385cg | table_5 | page=14 | A=3.7 Global TrustZone® controller (GTZC) | B=3.6 Boot modes
2026-07-26 21:35:06 | stm32u385cg | table_6 | page=14 | A=3.7 Global TrustZone® controller (GTZC) | B=3.6 Boot modes
2026-07-26 21:35:06 | stm32u385cg | table_7 | page=15 | A=3.7.1 TrustZone® security architecture | B=3.6 Boot modes
2026-07-26 21:35:06 | stm32u385cg | table_10 | page=35 | Y=3.20.1 Temperature sensor | outline/toc=3.20.2 Internal voltage reference (VREFINT)
2026-07-26 21:35:06 | stm32u375ce | table_5 | page=14 | A=3.7 Global TrustZone® controller (GTZC) | B=3.6 Boot modes
2026-07-26 21:35:06 | stm32u375ce | table_6 | page=14 | A=3.7 Global TrustZone® controller (GTZC) | B=3.6 Boot modes
2026-07-26 21:35:06 | stm32u375ce | table_7 | page=15 | A=3.7.1 TrustZone® security architecture | B=3.6 Boot modes
2026-07-26 21:35:06 | stm32u385cg | table_12 | page=42 | Y=3.32 Timers and watchdogs | outline/toc=3.32.1 Advanced-control timers (TIM1)
2026-07-26 21:35:06 | stm32u385cg | table_13 | page=47 | Y=3.34 Tamper and backup registers (TAMP) | outline/toc=3.36 Improved inter-integrated circuit interface (I3C)
2026-07-26 21:35:06 | stm32u375ce | table_10 | page=35 | Y=3.20.1 Temperature sensor | outline/toc=3.20.2 Internal voltage reference (VREFINT)
